waist,shoulder,elbow,wrist_angle,wrist_rotate
3.15165,1.24561,4.81501,3.73682,3.12707
3.15165,1.24561,4.81348,3.73682,3.12707
3.15318,1.24561,4.81194,3.73682,3.12707
3.15318,1.24561,4.81041,3.73682,3.12707
3.15165,1.24561,4.80887,3.73682,3.12707
3.15165,1.24561,4.80733,3.73682,3.12707
3.15165,1.24561,4.8058,3.73682,3.12707
3.15318,1.24561,4.80273,3.73682,3.12707
3.15318,1.24561,4.80119,3.73682,3.12707
3.15318,1.24561,4.79966,3.73682,3.12707
3.15165,1.24561,4.79812,3.73836,3.12707
3.15165,1.24561,4.79505,3.73682,3.12707
3.15165,1.24561,4.79198,3.73836,3.12707
3.15165,1.24561,4.7889,3.73682,3.12707
3.15165,1.24561,4.7843,3.73682,3.12554
3.15165,1.24561,4.77969,3.73836,3.12554
3.15165,1.24561,4.77355,3.73989,3.12554
3.15165,1.24561,4.7674,3.74143,3.12554
3.15318,1.24561,4.76279,3.74604,3.12554
3.15318,1.24561,4.75511,3.75218,3.124
3.15165,1.24561,4.7459,3.75986,3.124
3.15318,1.24561,4.73515,3.76907,3.124
3.15318,1.24561,4.72286,3.78136,3.124
3.15318,1.24561,4.71057,3.79672,3.12246
3.15318,1.24561,4.69675,3.81361,3.12093
3.15318,1.24561,4.68139,3.83358,3.12093
3.15318,1.24561,4.66603,3.85355,3.12093
3.15165,1.24561,4.6476,3.87812,3.12093
3.15318,1.24561,4.62917,3.89809,3.12093
3.15165,1.24561,4.60921,3.9242,3.12093
3.15318,1.24561,4.58924,3.94724,3.12093
3.15165,1.24561,4.57081,3.96874,3.12093
3.15165,1.24561,4.55084,3.98717,3.12093
3.15165,1.24561,4.5278,4.0056,3.12246
3.15165,1.24561,4.50323,4.02096,3.124
3.15165,1.24561,4.48173,4.03171,3.124
3.15165,1.24561,4.46176,4.03785,3.124
3.15165,1.24561,4.44026,4.03939,3.124
3.15165,1.24714,4.41875,4.03785,3.124
3.15165,1.24868,4.39725,4.03632,3.124
3.15165,1.25329,4.37421,4.03325,3.124
3.15165,1.25636,4.35271,4.03017,3.124
3.15165,1.2625,4.33121,4.02557,3.124
3.15165,1.27018,4.30817,4.02096,3.124
3.15318,1.27786,4.2836,4.01482,3.124
3.15165,1.28708,4.26056,4.01021,3.124
3.15165,1.29629,4.23752,4.0056,3.124
3.15165,1.30858,4.21141,4.0056,3.124
3.15165,1.31933,4.1853,4.0056,3.124
3.15165,1.32854,4.16073,4.0056,3.124
3.15011,1.34083,4.13462,4.0056,3.124
3.14857,1.35312,4.11004,4.00714,3.124
3.14857,1.36694,4.087,4.0056,3.124
3.14857,1.38076,4.06243,4.0056,3.124
3.14704,1.39612,4.04093,4.0056,3.124
3.14704,1.41148,4.01789,4.0056,3.124
3.14704,1.42838,3.99485,4.00099,3.124
3.14857,1.44681,3.97181,3.99792,3.124
3.14704,1.46677,3.94724,3.99485,3.124
3.14704,1.48828,3.9242,3.99024,3.124
3.14704,1.50978,3.89962,3.9841,3.124
3.1455,1.53128,3.87505,3.97488,3.124
3.14397,1.55586,3.85048,3.96567,3.124
3.14243,1.58197,3.8259,3.95492,3.124
