waist,shoulder,elbow,wrist_angle,wrist_rotate
3.11632,3.05796,3.22998,3.24226,3.124
3.11632,3.05642,3.23151,3.24073,3.124
3.11632,3.05642,3.23151,3.24073,3.124
3.11632,3.05642,3.23151,3.24073,3.124
3.11632,3.05642,3.23305,3.23919,3.124
3.11632,3.05796,3.23305,3.23766,3.124
3.11632,3.05642,3.23458,3.23612,3.124
3.11478,3.05796,3.23612,3.23458,3.124
3.11632,3.05796,3.23766,3.23305,3.124
3.11632,3.05642,3.23919,3.22998,3.124
3.11478,3.05796,3.24073,3.2269,3.124
3.11632,3.05642,3.24073,3.22383,3.124
3.11632,3.05642,3.2438,3.22076,3.124
3.11632,3.05642,3.24534,3.21769,3.124
3.11632,3.05642,3.24687,3.21462,3.124
3.11632,3.05642,3.24841,3.21001,3.124
3.11632,3.05642,3.25148,3.20694,3.124
3.11632,3.05642,3.25301,3.20387,3.124
3.11632,3.05642,3.25455,3.20079,3.124
3.11786,3.05642,3.25762,3.19772,3.124
3.11786,3.05642,3.26069,3.19465,3.124
3.11786,3.05642,3.26223,3.19158,3.124
3.11786,3.05796,3.26684,3.18851,3.124
3.11786,3.05642,3.26991,3.18697,3.12246
3.11786,3.05796,3.27298,3.18236,3.12246
3.11786,3.05642,3.27759,3.17929,3.12246
3.11786,3.05642,3.28373,3.17622,3.12246
3.11786,3.05642,3.28834,3.17468,3.12093
3.11786,3.05642,3.29448,3.17161,3.12093
3.11786,3.05796,3.30063,3.16854,3.11939
3.11786,3.05642,3.30677,3.16547,3.11939
3.11786,3.05796,3.31445,3.1624,3.11939
3.11786,3.05642,3.32367,3.15779,3.11939
3.11939,3.05642,3.33288,3.15472,3.11939
3.11939,3.05796,3.34056,3.15165,3.11939
3.11939,3.05796,3.34978,3.14704,3.11939
3.11939,3.05796,3.35745,3.14397,3.11939
3.11939,3.05796,3.36667,3.13936,3.11939
3.11939,3.05642,3.37589,3.13629,3.11939
3.11939,3.05642,3.3851,3.13168,3.11939
3.11939,3.05796,3.39278,3.12554,3.11939
3.11939,3.05642,3.40353,3.11939,3.11939
3.11939,3.05642,3.41275,3.11325,3.11939
3.11939,3.05642,3.42196,3.10403,3.11939
3.12093,3.05642,3.43118,3.09482,3.11939
3.12093,3.05642,3.44039,3.08714,3.11786
3.12093,3.05488,3.44961,3.07639,3.11786
3.12093,3.05335,3.45882,3.06717,3.11786
3.12093,3.05181,3.46804,3.05796,3.11786
3.12246,3.04721,3.47572,3.05335,3.11786
3.124,3.04413,3.48493,3.04721,3.11786
3.124,3.03953,3.49261,3.0426,3.11786
3.124,3.03338,3.50183,3.03953,3.11786
3.124,3.02724,3.51104,3.03645,3.11786
3.12554,3.01956,3.5218,3.03338,3.11786
3.12554,3.01188,3.53255,3.03185,3.11786
3.12554,3.0042,3.5433,3.03031,3.11786
3.12554,2.99498,3.55405,3.02877,3.11786
3.12554,2.98577,3.5648,3.0257,3.11786
3.12554,2.97809,3.57555,3.02417,3.11786
3.12554,2.96887,3.58784,3.02417,3.11786
3.12554,2.9612,3.59859,3.02417,3.11786
3.12554,2.95198,3.60934,3.02263,3.11786
3.12707,2.9443,3.62009,3.02263,3.11786
3.12707,2.93509,3.63238,3.01956,3.11786
3.12861,2.92741,3.64467,3.01802,3.11786
3.12861,2.91819,3.65695,3.01495,3.11786
3.12861,2.91051,3.67078,3.01188,3.11632
3.12861,2.90283,3.6846,3.00727,3.11786
3.12861,2.89362,3.69535,3.00266,3.11632
3.12861,2.88594,3.70917,2.99806,3.11786
3.12861,2.87979,3.723,2.99038,3.11632
3.12861,2.87211,3.73528,2.98423,3.11632
3.13014,2.86751,3.74911,2.97655,3.11632
3.12861,2.85983,3.76139,2.96734,3.11632
