waist,shoulder,elbow,wrist_angle,wrist_rotate,hand_x,hand_y,hand_z
3.13322,1.23946,4.8442,3.71839,3.25301,152.542,-1.27797,70.9565
3.13475,1.23946,4.8442,3.71992,3.25301,152.445,-1.043,70.7079
3.13475,1.23946,4.84573,3.71992,3.25301,152.407,-1.04274,70.1584
3.13475,1.23946,4.8442,3.71992,3.25301,152.445,-1.043,70.7079
3.13322,1.23946,4.8442,3.71839,3.25301,152.542,-1.27797,70.9565
3.13475,1.23946,4.8442,3.71992,3.25301,152.445,-1.043,70.7079
3.13322,1.23946,4.8442,3.71992,3.25301,152.444,-1.27714,70.7079
3.13475,1.23946,4.8442,3.71839,3.25301,152.544,-1.04368,70.9565
3.13322,1.23946,4.8442,3.71992,3.25301,152.444,-1.27714,70.7079
3.13322,1.23946,4.8442,3.71839,3.25301,152.542,-1.27797,70.9565
3.13322,1.23946,4.8442,3.71839,3.25301,152.542,-1.27797,70.9565
3.13322,1.23946,4.8442,3.71992,3.25301,152.444,-1.27714,70.7079
3.13475,1.23946,4.8442,3.71992,3.25301,152.445,-1.043,70.7079
3.13475,1.23946,4.8442,3.71992,3.25301,152.445,-1.043,70.7079
3.13475,1.23946,4.8442,3.71992,3.25301,152.445,-1.043,70.7079
3.13322,1.23946,4.8442,3.71992,3.25301,152.444,-1.27714,70.7079
3.13475,1.23946,4.8442,3.71839,3.25301,152.544,-1.04368,70.9565
3.13475,1.23946,4.8442,3.71839,3.25301,152.544,-1.04368,70.9565
3.13322,1.23946,4.8442,3.71532,3.25301,152.739,-1.27961,71.4541
3.13475,1.23946,4.8442,3.71071,3.25301,153.032,-1.04701,72.2017
3.13475,1.23946,4.83037,3.71071,3.25301,153.319,-1.04898,77.1583
3.13322,1.23946,4.8058,3.71071,3.25301,153.659,-1.28732,85.9779
3.13475,1.23946,4.76894,3.71071,3.25301,153.767,-1.05204,99.2165
3.13475,1.23946,4.7244,3.71071,3.25301,153.244,-1.04846,115.205
3.13475,1.23946,4.67678,3.71071,3.25301,151.898,-1.03926,132.251
3.13322,1.23946,4.63685,3.71225,3.25301,150.1,-1.2575,146.222
3.13475,1.23946,4.6046,3.71992,3.25301,148.1,-1.01327,156.334
3.13322,1.23946,4.56466,3.75679,3.25301,144.632,-1.2117,164.023
3.13475,1.23946,4.50476,3.89502,3.25916,136.419,-0.93335,161.054
3.13475,1.23946,4.43104,4.03017,3.26223,125.796,-0.860667,163.041
3.13322,1.23946,4.36807,4.10851,3.26223,117.484,-0.984254,170.542
3.13475,1.23946,4.30971,4.16073,3.26223,110.228,-0.754156,180.458
3.13475,1.24714,4.24213,4.23291,3.26223,101.197,-0.692367,188.635
3.13322,1.26097,4.17916,4.30663,3.26223,92.5111,-0.775038,194.118
3.13322,1.284,4.11772,4.33889,3.26223,86.7628,-0.72688,204.873
3.13322,1.32547,4.044,4.35271,3.26223,82.5085,-0.691237,220.502
3.13322,1.3823,3.95799,4.35425,3.26223,79.5119,-0.666133,240.33
3.13322,1.45756,3.86737,4.35271,3.26377,79.23,-0.663771,260.4
3.13475,1.53743,3.77215,4.34964,3.26377,80.2905,-0.549331,281.48
3.13475,1.61883,3.67231,4.33889,3.26377,82.5197,-0.564583,304.73
3.13475,1.70177,3.56634,4.33121,3.26377,85.2547,-0.583295,328.605
3.13475,1.7801,3.47265,4.32967,3.26377,89.6299,-0.61323,347.88
3.13475,1.84153,3.39892,4.32967,3.26377,93.7414,-0.64136,362.449
3.13475,1.89068,3.34517,4.32967,3.26377,98.27,-0.672343,372.394
3.13322,1.92754,3.31599,4.32967,3.26377,103.588,-0.86784,376.64
3.13322,1.95519,3.30216,4.32967,3.26377,108.88,-0.912176,377.498
3.13322,1.97362,3.29602,4.32814,3.26377,112.926,-0.946071,377.416
3.13475,1.98591,3.29448,4.32814,3.26377,115.955,-0.793341,376.437
3.13322,1.99512,3.29141,4.32814,3.26377,117.96,-0.988246,376.217
3.13322,2.00894,3.27912,4.32814,3.26377,119.951,-1.00492,378.01
3.13475,2.02737,3.25762,4.32967,3.26377,121.913,-0.834101,381.531
3.13322,2.04427,3.24073,4.32814,3.26377,124.232,-1.04078,384.435
3.13322,2.05809,3.2269,4.32814,3.26377,126.122,-1.05662,386.567
3.13322,2.07959,3.21769,4.32967,3.26377,130.711,-1.09507,386.126
3.13322,2.11338,3.20079,4.32814,3.26377,137.807,-1.15452,386.618
3.13322,2.14717,3.17008,4.30356,3.26377,144.1,-1.20724,394.765
3.13322,2.19939,3.14397,4.23752,3.26377,157.643,-1.3207,405.711
3.13322,2.25315,3.12246,4.16226,3.26377,172.477,-1.44497,416.127
3.13322,2.30383,3.12246,4.09315,3.26377,189.15,-1.58466,418.933
3.13322,2.35298,3.13168,4.0225,3.26377,206.472,-1.72978,418.62
3.13322,2.39752,3.14857,3.93495,3.26377,223.281,-1.8706,418.891
3.13322,2.44206,3.16854,3.84433,3.26377,239.992,-2.0106,417.822
3.13322,2.482,3.20387,3.76293,3.26377,256.412,-2.14817,410.242
3.13322,2.51579,3.22998,3.723,3.26377,269.153,-2.2549,399.363
3.13322,2.55572,3.2438,3.71532,3.26377,281.57,-2.35893,384.885
3.13322,2.60487,3.25916,3.71532,3.26377,295.455,-2.47525,365.282
3.13322,2.65248,3.2868,3.71532,3.26377,308.019,-2.58051,341.052
3.13322,2.69856,3.29295,3.69996,3.26377,318.971,-2.67227,326.993
3.13322,2.7431,3.29448,3.63392,3.26377,331.339,-2.77589,323.077
3.13322,2.77535,3.30216,3.55558,3.26377,341.22,-2.85867,322.718
