waist,shoulder,elbow,wrist_angle,wrist_rotate
3.16854,3.15472,3.14243,3.15472,3.14089
3.16854,3.15472,3.14243,3.15318,3.14089
3.16854,3.15472,3.14243,3.15472,3.14089
3.16854,3.15472,3.14397,3.15472,3.14089
3.167,3.15472,3.14397,3.15318,3.14089
3.16854,3.15472,3.14397,3.15318,3.14089
3.16854,3.15472,3.1455,3.15318,3.14089
3.16854,3.15472,3.1455,3.15318,3.14089
3.16854,3.15472,3.1455,3.15318,3.14089
3.16854,3.15472,3.14704,3.15472,3.14089
3.16854,3.15472,3.14704,3.15472,3.14089
3.16854,3.15472,3.14704,3.15318,3.14089
3.16854,3.15472,3.14704,3.15318,3.14089
3.16854,3.15472,3.14704,3.15472,3.14089
3.16854,3.15472,3.14704,3.15318,3.14089
3.16854,3.15472,3.14704,3.15318,3.14089
3.167,3.15472,3.1455,3.15318,3.14089
3.167,3.15472,3.14397,3.15318,3.14089
3.167,3.15472,3.14243,3.15472,3.14089
3.167,3.15472,3.14089,3.15472,3.14089
3.16547,3.15472,3.13782,3.15318,3.14089
3.16547,3.15472,3.13629,3.15318,3.14089
3.16547,3.15472,3.13475,3.15318,3.14089
3.16393,3.15472,3.13322,3.15318,3.14089
3.16393,3.15625,3.13168,3.15318,3.14089
3.16393,3.15625,3.13014,3.15318,3.14089
3.16393,3.15625,3.13014,3.15318,3.14089
3.1624,3.15625,3.12861,3.15472,3.14089
3.16393,3.15779,3.12707,3.15472,3.14089
3.1624,3.15779,3.12707,3.15472,3.14089
3.1624,3.15933,3.12554,3.15472,3.14089
3.1624,3.15933,3.12554,3.15318,3.14089
3.1624,3.16086,3.12554,3.15472,3.14089
3.16393,3.16086,3.124,3.15318,3.14089
3.1624,3.16393,3.12554,3.15318,3.14089
3.1624,3.16393,3.124,3.15318,3.14089
3.16393,3.16547,3.124,3.15472,3.14089
3.16393,3.167,3.124,3.15318,3.14089
3.16393,3.16854,3.12246,3.15318,3.14089
3.16393,3.16854,3.12246,3.15318,3.14089
3.16547,3.17008,3.12093,3.15318,3.14089
3.16393,3.17161,3.11939,3.15318,3.14089
3.16547,3.17315,3.11786,3.15318,3.14089
3.16547,3.17468,3.11786,3.15472,3.14089
3.16547,3.17622,3.11632,3.15318,3.14089
3.16393,3.17622,3.11632,3.15318,3.14089
3.16393,3.17776,3.11478,3.15318,3.14089
3.16547,3.17776,3.11325,3.15318,3.14089
3.16393,3.17776,3.11325,3.15318,3.14089
3.16393,3.17622,3.11171,3.15318,3.14089
3.16547,3.17622,3.11171,3.15472,3.14089
3.16547,3.17622,3.11171,3.15472,3.14089
3.16547,3.17622,3.11171,3.15318,3.14089
3.16547,3.17622,3.11171,3.15472,3.14089
3.167,3.17622,3.11171,3.15472,3.14089
3.167,3.17622,3.11171,3.15318,3.14089
3.16854,3.17622,3.11018,3.15472,3.14089
3.167,3.17622,3.11018,3.15472,3.14089
3.167,3.17776,3.11018,3.15318,3.14089
3.167,3.17622,3.11018,3.15318,3.14089
3.167,3.17622,3.11018,3.15318,3.14089
3.167,3.17622,3.11018,3.15472,3.14089
3.167,3.17622,3.11171,3.15318,3.14089
3.16547,3.17776,3.11018,3.15318,3.14089
3.16547,3.17622,3.11018,3.15318,3.14089
3.16547,3.17776,3.11018,3.15318,3.14089
