waist,shoulder,elbow,wrist_angle,wrist_rotate
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45756,2.54036,3.13936
3.14397,1.25329,1.45756,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.5419,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45756,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.1455,1.25329,1.45602,2.54036,3.14089
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45756,2.54036,3.14089
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.14089
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.14089
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.14089
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45756,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45756,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.5419,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45756,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45756,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45756,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25329,1.45602,2.54036,3.13936
3.14397,1.25329,1.45756,2.54036,3.13936
3.1455,1.25329,1.45602,2.54036,3.13936
3.14397,1.25175,1.45756,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13936
3.1455,1.25175,1.45602,2.54036,3.13936
3.14397,1.25175,1.45602,2.54036,3.13936
3.14397,1.25329,1.45602,2.54036,3.13782
3.14397,1.25175,1.45602,2.54036,3.13782
3.14397,1.25175,1.45602,2.5419,3.13629
3.1455,1.25329,1.45756,2.54036,3.13629
3.14397,1.25329,1.46063,2.54036,3.13475
3.14397,1.25175,1.46217,2.54036,3.13475
3.1455,1.25329,1.46524,2.54036,3.13475
3.14397,1.25329,1.46985,2.54036,3.13322
3.14397,1.25329,1.47292,2.54036,3.13322
3.14397,1.25482,1.47906,2.54036,3.13322
3.14397,1.25943,1.48674,2.54036,3.13322
3.1455,1.26557,1.49442,2.54036,3.13322
3.1455,1.27172,1.50364,2.54036,3.13322
3.1455,1.28093,1.51285,2.5419,3.13322
3.1455,1.29168,1.5236,2.5419,3.13322
3.1455,1.3009,1.53435,2.5419,3.13168
3.14704,1.31472,1.54664,2.5419,3.13168
3.15011,1.32701,1.55893,2.54343,3.13168
3.15165,1.34237,1.57122,2.54343,3.13168
3.15472,1.35773,1.5835,2.54497,3.13168
3.15625,1.37462,1.59733,2.54804,3.13168
3.16086,1.39152,1.60961,2.54804,3.13168
3.16393,1.40841,1.62036,2.55111,3.13168
3.167,1.42531,1.63265,2.55265,3.13168
3.16854,1.44374,1.6434,2.55572,3.13168
3.17161,1.46063,1.65569,2.55879,3.13168
3.17315,1.47906,1.66798,2.56186,3.13168
3.17468,1.49749,1.68026,2.56494,3.13168
3.17622,1.51592,1.69255,2.56954,3.13168
3.17776,1.53128,1.70484,2.57262,3.13168
3.17776,1.55125,1.71712,2.57569,3.13168
3.17776,1.56814,1.72941,2.58029,3.13168
3.17776,1.58504,1.74323,2.58337,3.13168
3.17776,1.60193,1.75552,2.58644,3.13168
3.17776,1.61883,1.76934,2.58951,3.13168
3.17776,1.63265,1.78317,2.59258,3.13168
3.17776,1.64647,1.79699,2.59565,3.13168
3.17776,1.6603,1.81235,2.59719,3.13168
3.17776,1.67719,1.82464,2.60026,3.13168
3.17776,1.69101,1.83846,2.60333,3.13168
3.17776,1.70791,1.85382,2.60487,3.13168
3.17776,1.72173,1.86918,2.6064,3.13168
3.17776,1.73709,1.88607,2.60794,3.13168
3.17776,1.75399,1.8999,2.61101,3.13168
3.17776,1.76781,1.91525,2.61408,3.13168
3.17776,1.7847,1.93061,2.61408,3.13168
3.17929,1.80006,1.94597,2.61716,3.13168
