waist,shoulder,elbow,wrist_angle,wrist_rotate
3.09482,3.14243,3.15472,3.19465,3.16393
3.09482,3.14243,3.15472,3.19465,3.16393
3.09482,3.14243,3.15472,3.19465,3.16393
3.09482,3.14397,3.15625,3.19465,3.16393
3.09482,3.14243,3.15625,3.19465,3.16393
3.09482,3.14397,3.15779,3.19465,3.16393
3.09328,3.14243,3.15779,3.19465,3.16393
3.09328,3.14243,3.15933,3.19465,3.16393
3.09328,3.14243,3.15779,3.19465,3.16393
3.09328,3.14243,3.15933,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14397,3.15933,3.19465,3.16393
3.09175,3.14397,3.15933,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14397,3.15933,3.19465,3.16393
3.09175,3.14397,3.15933,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14397,3.16086,3.19465,3.16393
3.09175,3.14397,3.16086,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09021,3.14243,3.16086,3.19465,3.16393
3.09021,3.14243,3.15933,3.19465,3.16393
3.09021,3.14243,3.16086,3.19465,3.16393
3.09021,3.14243,3.15933,3.19465,3.16393
3.09175,3.14397,3.16086,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09175,3.14397,3.15933,3.19465,3.16393
3.09175,3.14397,3.15933,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09175,3.14243,3.15933,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09175,3.14243,3.16086,3.19465,3.16393
3.09175,3.14243,3.1624,3.19465,3.16393
3.09175,3.14243,3.16393,3.19465,3.16393
3.09175,3.14243,3.16393,3.19465,3.16393
3.09021,3.14243,3.16547,3.19465,3.16393
3.09021,3.14243,3.167,3.19465,3.16393
3.09021,3.14243,3.167,3.19465,3.16393
3.09021,3.14243,3.167,3.19465,3.16393
3.09021,3.14397,3.16854,3.19465,3.16393
3.09021,3.14243,3.167,3.19465,3.16393
3.09021,3.14243,3.16854,3.19465,3.16393
3.08867,3.14243,3.16854,3.19465,3.16393
3.08867,3.14243,3.16854,3.19465,3.16393
3.09021,3.14243,3.16854,3.19465,3.16393
3.09021,3.14243,3.16854,3.19465,3.16393
3.09021,3.14243,3.16854,3.19465,3.16393
3.09021,3.14243,3.16854,3.19465,3.16393
3.09021,3.14243,3.16854,3.19465,3.16393
3.09175,3.14243,3.16854,3.19465,3.16393
3.09175,3.14243,3.16854,3.19465,3.16393
3.09021,3.14243,3.17008,3.19465,3.16393
3.09021,3.14243,3.17008,3.19465,3.16393
3.09175,3.14243,3.17008,3.19465,3.16393
3.09021,3.14243,3.17008,3.19465,3.16393
3.09021,3.14243,3.17161,3.19465,3.16393
3.09021,3.14243,3.17161,3.19465,3.16393
3.09021,3.14243,3.17161,3.19465,3.16393
3.09021,3.14243,3.17315,3.19465,3.16393
3.09021,3.14243,3.17468,3.19465,3.16393
3.09021,3.14243,3.17468,3.19465,3.16393
3.09021,3.14243,3.17622,3.19465,3.16393
3.09021,3.14243,3.17776,3.19465,3.16393
3.09021,3.14243,3.17776,3.19465,3.16393
3.09021,3.14243,3.17776,3.19465,3.16393
3.09175,3.14243,3.17929,3.19465,3.16393
3.09175,3.14089,3.18083,3.19465,3.16393
3.09175,3.14089,3.18083,3.19465,3.16393
3.09175,3.14089,3.18236,3.19465,3.16393
3.09328,3.14089,3.18236,3.19465,3.16393
3.09328,3.13936,3.1839,3.19465,3.16393
3.09482,3.13936,3.18544,3.19465,3.16393
3.09482,3.13782,3.18697,3.19465,3.16393
3.09635,3.13629,3.18851,3.19465,3.16393
3.09635,3.13629,3.19004,3.19465,3.16393
3.09635,3.13475,3.19311,3.19465,3.16393
3.09789,3.13168,3.19465,3.19465,3.16393
