waist,shoulder,elbow,wrist_angle,wrist_rotate
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09175
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09175
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24868,4.81809,3.76447,3.09328
3.1455,1.24868,4.81655,3.76447,3.09328
3.1455,1.24714,4.81809,3.76447,3.09328
3.1455,1.24714,4.81655,3.76447,3.09482
3.1455,1.24868,4.81655,3.76447,3.09482
3.1455,1.24714,4.81501,3.76447,3.09482
3.1455,1.24868,4.81348,3.76447,3.09482
3.1455,1.24868,4.81041,3.76447,3.09482
3.1455,1.24868,4.80733,3.76447,3.09482
3.1455,1.24868,4.80273,3.76447,3.09482
3.1455,1.25021,4.79812,3.76447,3.09482
3.1455,1.25175,4.79198,3.76447,3.09482
3.1455,1.25329,4.78583,3.76447,3.09482
3.14397,1.25329,4.77815,3.76447,3.09482
3.1455,1.25789,4.77047,3.76447,3.09482
3.1455,1.26404,4.76587,3.76447,3.09482
3.14397,1.27018,4.75972,3.76447,3.09789
3.1455,1.27632,4.75204,3.76447,3.09789
3.1455,1.28554,4.74436,3.76447,3.09943
3.14397,1.29629,4.73668,3.76447,3.10096
3.14397,1.30858,4.72747,3.76447,3.1025
3.1455,1.32087,4.71518,3.76447,3.10403
3.14397,1.33315,4.70289,3.76447,3.10557
3.14397,1.34851,4.69061,3.76447,3.1071
3.14397,1.36387,4.67678,3.76447,3.10864
3.14397,1.38076,4.66296,3.76447,3.11018
3.14243,1.39766,4.64914,3.76447,3.11325
3.14243,1.41302,4.63532,3.76447,3.11478
3.14243,1.43145,4.61996,3.76447,3.11632
3.14089,1.44834,4.6046,3.76447,3.11786
3.14089,1.46677,4.59077,3.76447,3.11939
3.14089,1.48521,4.57388,3.76293,3.12093
3.14089,1.50364,4.55852,3.76293,3.12093
3.13782,1.5236,4.54163,3.76139,3.12093
3.13782,1.54357,4.5232,3.75832,3.12093
3.13629,1.56507,4.5063,3.75525,3.11939
3.13475,1.58811,4.48787,3.75218,3.11939
3.13322,1.61115,4.47098,3.74757,3.11939
3.13168,1.63265,4.45254,3.74143,3.11939
3.13014,1.65723,4.43411,3.73682,3.11939
3.12861,1.6818,4.41415,3.72914,3.11786
