waist,shoulder,elbow,wrist_angle,wrist_rotate
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.83037,3.81822,3.1455
3.13475,1.23946,4.82884,3.81822,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81822,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13322,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.82884,3.81822,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81822,3.1455
3.13475,1.23946,4.83037,3.81822,3.1455
3.13475,1.23946,4.82884,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.82884,3.81822,3.1455
3.13475,1.23946,4.83037,3.81822,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.83037,3.81976,3.1455
3.13475,1.23946,4.8273,3.81822,3.1455
3.13475,1.23946,4.82269,3.81822,3.1455
3.13475,1.23946,4.81962,3.81822,3.1455
3.13475,1.23946,4.81041,3.81822,3.1455
3.13475,1.23946,4.79966,3.81822,3.1455
3.13475,1.23946,4.78737,3.81822,3.1455
3.13475,1.23793,4.77508,3.81822,3.1455
3.13475,1.23793,4.76126,3.81822,3.1455
3.13475,1.23946,4.74897,3.81822,3.1455
3.13475,1.23946,4.73361,3.81822,3.1455
3.13475,1.23793,4.71979,3.81822,3.1455
3.13475,1.23946,4.70289,3.81822,3.1455
3.13475,1.23946,4.68754,3.81822,3.1455
3.13475,1.23793,4.67064,3.81822,3.1455
3.13475,1.23946,4.65375,3.81822,3.1455
3.13475,1.23946,4.63685,3.81822,3.1455
3.13475,1.23946,4.61996,3.81822,3.1455
3.13475,1.23946,4.6046,3.81822,3.1455
3.13475,1.23946,4.58924,3.81822,3.1455
3.13475,1.23946,4.57234,3.81822,3.1455
3.13475,1.23946,4.56159,3.81822,3.1455
3.13475,1.23946,4.54931,3.81822,3.1455
3.13475,1.23946,4.53702,3.81822,3.1455
3.13475,1.23793,4.52473,3.81822,3.1455
3.13475,1.23946,4.51398,3.81822,3.1455
3.13475,1.23946,4.50169,3.81822,3.1455
3.13475,1.23793,4.49248,3.81822,3.1455
3.13322,1.23946,4.48326,3.81822,3.1455
3.13475,1.23946,4.46944,3.81822,3.1455
3.13475,1.23946,4.46176,3.81822,3.1455
3.13475,1.23946,4.45715,3.81822,3.1455
3.13475,1.23946,4.45101,3.81822,3.1455
3.13475,1.23946,4.44333,3.81822,3.1455
3.13475,1.23946,4.44026,3.81822,3.1455
3.13475,1.23793,4.43411,3.81822,3.1455
3.13475,1.23946,4.42643,3.81822,3.1455
3.13475,1.23946,4.41875,3.81822,3.1455
3.13475,1.23946,4.40954,3.81976,3.1455
3.13475,1.23946,4.40032,3.81976,3.1455
